second,rate
0,1.1
1,1.1
2,1.08
3,1.12
4,1.11
5,1.12
6,1.12
7,1.12
8,0.42
9,1.12
10,1.11
11,1.12
12,1.12
13,1.12
14,1.12
15,1.12
16,1.11
17,1.12
18,1.12
19,1.13
20,1.12
21,1.12
22,1.12
23,1.12
24,1.12
25,1.13
26,1.12
27,1.13
28,1.11
29,1.12
30,1.12
31,1.13
32,1.13
33,0.69
34,1.12
35,1.12
36,0.55
37,1.12
38,1.13
39,0.97
40,0.48
41,1.12
42,0.37
43,1.12
44,1.13
45,1.12
46,1.12
47,1.12
48,1.11
49,1.13
50,1.11
51,0.59
52,1.13
53,1.12
54,1.12
55,1.13
56,1.12
57,1.12
58,0.5
59,1.12
60,1.11
61,1.13
62,1.12
63,1.12
64,1.13
65,0.7
66,1.11
67,1.12
68,1.13
69,1.13
70,0.66
71,1.11
72,1.12
73,1.12
74,1.12
75,1.12
76,0.8
77,1.12
78,1.12
79,1.12
80,1.13
81,0.39
82,1.11
83,0.61
84,1.13
85,1.12
86,1.11
87,1.12
88,0.68
89,1.13
90,0.8
91,1.12
92,0.79
93,1.12
94,0.79
95,1.11
96,1.13
97,1.12
98,1.12
99,1.12
100,1.12
101,0.89
102,1.13
103,1.11
104,1.13
105,1.12
106,0.63
107,1.12
108,0.7
109,1.13
110,0.8
111,1.12
112,0.65
113,1.12
114,1.12
115,0.66
116,1.12
117,0.67
118,1.12
119,1.12
120,1.11
121,1.12
122,1.13
123,1.12
124,0.84
125,1.12
126,0.93
127,1.12
128,1.12
129,1.12
130,1
131,1.11
132,1.13
133,0.67
134,1.11
135,0.76
136,1.11
137,0.76
138,1.11
139,1.12
140,0.79
141,1.13
142,1.12
143,1.11
144,1.1
145,1.11
146,0.11
147,1.12
148,0.69
149,0.67
150,1.12
151,0.65
152,1.12
153,0.79
154,1.12
155,1.12
156,0.95
157,1.11
158,0.89
159,1.03
160,0.69
161,1.11
162,1.12
163,0.85
164,1.12
165,1.12
166,1.11
167,0.63
168,1.12
169,1.12
170,1.12
171,0.71
172,0.01
173,0.59
174,0.38
175,1.06
176,0.74
177,1.12
178,0.75
179,1.11
180,1.11
181,0.66
182,1.11
183,0.56
184,1.11
185,1.1
186,1.1
187,1.1
188,1.1
189,1.11
190,1.11
191,1.11
192,0.52
193,1.11
194,0.08
195,1.11
196,1.12
197,1.1
198,1.12
199,1.09
200,1.11
201,1.11
202,1.11
203,0.59
204,1.11
205,1.1
206,1.1
207,1.12
208,0.74
209,1.11
210,0.73
211,1.1
212,1.11
213,1.09
214,1.11
215,0.76
216,1.09
217,1.09
218,1.12
219,6.5
220,0.11
221,1.13
222,0.57
223,1.13
224,1.13
225,1.12
226,0.89
227,1.13
228,1.13
229,1.13
230,1.13
231,0.82
232,1.12
233,1.13
234,1.13
235,1.11
236,1.12
237,1.13
238,0.7
239,1.13
240,1.12
241,1.13
242,0.05
243,1.13
244,1.13
245,0.54
246,1.13
247,0.55
248,1.13
249,1.13
250,1.13
251,1.12
252,0.41
253,1.11
254,0.74
255,1.12
256,0.58
257,1.13
258,0.82
259,1.12
260,1.12
261,1.12
262,1.13
263,1.13
264,1.13
265,1.13
266,0.62
267,1.13
268,1.13
269,1.13
270,1.12
271,1.13
272,1.13
273,1.13
274,0.85
275,1.12
276,1.13
277,1.13
278,1.13
279,0.69
280,1.13
281,1.12
282,1.12
283,1.12
284,1.12
285,1.13
286,0.46
287,1.14
288,1.13
289,1.13
290,1.12
291,1.12
292,0.9
293,1.13
294,1.13
295,0.79
296,1.13
297,1.13
298,1.13
299,1.13
300,1.13
301,1.14
302,0.7
303,1.13
304,0.74
305,1.12
306,1.13
307,1.13
308,1.13
309,0.7
310,1.14
311,0.76
312,1.13
313,1.13
314,1.13
315,1.13
316,1.13
317,0.92
318,0.55
319,1.13
320,0.92
321,1.14
322,0.63
323,1.13
324,1.11
325,0.51
326,1.13
327,0.73
328,1.13
329,1.1
330,0.98
331,1.13
332,1.12
333,1.13
334,0.59
335,1.12
336,0.5
337,1.12
338,1.12
339,1.13
340,1.13
341,1.13
342,1.13
343,0.69
344,1.12
345,0.82
346,0.11
347,1.1
348,1.13
349,0.79
350,1.12
351,1.12
352,0.69
353,1.12
354,0.52
355,1.12
356,1.12
357,1.03
358,1.12
359,0.52
360,1.13
361,1.12
362,1.13
363,1.06
364,1.12
365,1.13
366,0.79
367,1.13
368,0.67
369,1.12
370,1.12
371,1.12
372,0.84
373,0.44
374,1.11
375,0.68
376,1.13
377,0.63
378,1.11
379,0.78
380,1.12
381,1.11
382,0.69
383,1.12
384,1.12
385,1.1
386,0.51
387,1.13
388,1.13
389,1.12
390,1.12
391,0.95
392,0.51
393,1.11
394,0.55
395,1.12
396,0.65
397,1.12
398,1.13
399,1.13
400,1.12
401,1.13
402,1.13
403,1.13
404,1.12
405,1.12
406,1.12
407,0.51
408,1.12
409,1.12
410,1.13
411,1.13
412,0.44
413,1.11
414,1.13
415,1.13
416,1.12
417,1.13
418,1.12
419,0.79
420,1.13
421,0.49
422,1.13
423,0.67
424,1.13
425,1.13
426,1.13
427,1.13
428,0.56
429,1.13
430,0.73
431,1.12
432,1.13
433,1.13
434,1.13
435,1.12
436,1.12
437,0.81
438,1.13
439,0.75
440,1.13
441,0.83
442,1.13
443,1.13
444,0.71
445,1.12
446,1.12
447,1.13
448,1.12
449,1.13
450,1.12
451,0.68
452,1.12
453,0.54
454,1.13
455,1.12
456,1.13
457,1.11
458,1.12
459,1.13
460,0.85
461,1.11
462,0.69
463,1.1
464,0.77
465,1.12
466,1.13
467,0.68
468,1.12
469,0.63
470,1.11
471,0.8
472,1.12
473,1.11
474,1.13
475,1.11
476,1.12
477,1.13
478,0.63
479,1.12
480,1.12
481,1.13
482,1.12
483,1.13
484,1.13
485,0.67
486,1.13
487,0.69
488,1.12
489,1.12
490,0.5
491,1.12
492,1.12
493,1.13
494,1.12
495,1.13
496,0.56
497,1.12
498,0.86
499,1.13
500,1.12
501,1.13
502,1.12
503,0.65
504,1.12
505,1.12
506,1.11
507,1.13
508,1.13
509,1.13
510,0.52
511,1.13
512,0.61
513,1.13
514,0.53
515,1.11
516,1.11
517,1.12
518,1.09
519,0.44
520,1.12
521,0.56
522,1.12
523,1.12
524,1.11
525,1.11
526,0.52
527,1.12
528,0.49
529,1.11
530,0.66
531,1.11
532,1.11
533,1.11
534,1.12
535,0.41
536,1.11
537,0.52
538,1.11
539,1.11
540,1.12
541,1.12
542,0.46
543,1.1
544,0.58
545,1.11
546,1.11
547,1.11
548,0.7
549,1.11
550,1.1
551,1.1
552,1.11
553,1.11
554,1.11
555,1.11
556,1.11
557,1.12
558,1.12
559,1.11
560,1.11
561,1.13
562,1.13
563,0.58
564,1.12
565,0.7
566,1.12
567,0.59
568,1.12
569,1.13
570,0.51
571,1.12
572,1.12
573,1.1
574,1.1
575,1.12
576,1.12
577,1.12
578,1.13
579,1.11
580,1.12
581,0.79
582,1.12
583,0.49
584,1.12
585,1.13
586,1.13
587,1.11
588,1.11
589,1.13
590,0.66
591,1.13
592,1.13
593,1.12
594,1.12
595,0.44
596,1.13
597,0.71
598,1.12
599,1.13
600,1.13
601,1.12
602,1.12
603,1.13
604,0.79
605,1.13
606,0.47
607,1.12
608,1.12
609,1.13
610,1.12
611,1.13
612,1.12
613,1.12
614,1.13
615,1.14
616,1.13
617,1.14
618,0.56
619,1.13
620,1.14
621,1.13
622,0.34
623,1.13
624,0.76
625,1.13
626,1.12
627,1.12
628,1.12
629,1.13
630,1.13
631,0.57
632,1.13
633,1.12
634,1.14
635,1.13
636,0.65
637,1.13
638,0.96
639,1.13
640,0.84
641,1.12
642,0.73
643,1.13
644,1.13
645,0.39
646,1.12
647,0.76
648,1.12
649,1.12
650,1.12
651,1.11
652,0.74
653,1.13
654,1.13
655,1.14
656,0.73
657,1.13
658,0.69
659,1.13
660,1.12
661,1.11
662,1.14
663,0.7
664,1.13
665,0.51
666,1.12
667,1.12
668,0.51
669,1.11
670,0.64
671,1.1
672,0.67
673,1.1
674,0.62
675,1.09
676,1.1
677,1.1
678,1.1
679,0.79
680,1.1
681,0.54
682,1.08
683,1.09
684,1.09
685,1.09
686,1.1
687,1.09
688,0.67
689,1.1
690,1.1
691,1.1
692,1.11
693,1.11
694,1.09
695,1.12
696,1.11
697,1.13
698,1.13
699,1.15
700,1.16
701,1.17
702,1.18
703,1.19
704,0.71
705,1.17
706,0.59
707,1.16
708,1.17
709,1.18
710,1.2
711,0.48
712,1.13
713,0.53
714,1.1
715,0.55
716,1.01
717,1.01
718,0.99
719,1
