second,rate
0,0.97
1,1.01
2,1.02
3,1.01
4,1
5,1.04
6,1.02
7,0.98
8,1.02
9,0.97
10,0.97
11,1.05
12,1
13,0.97
14,1.04
15,1
16,1.02
17,1.02
18,1
19,1.02
20,1
21,0.98
22,1.01
23,1.01
24,1.01
25,1.02
26,1.04
27,0.97
28,1.02
29,1.01
30,1
31,1.04
32,1.01
33,0.99
34,1.03
35,0.98
36,1.01
37,1.05
38,1.02
39,0.98
40,1.03
41,1.02
42,1.04
43,1.01
44,1.05
45,1.06
46,1.04
47,1.01
48,0.98
49,1.04
50,1.01
51,1.01
52,1.04
53,1.01
54,1
55,1.04
56,1.04
57,1.01
58,1.04
59,1.06
60,1
61,1.04
62,1.05
63,1.03
64,0.99
65,1.03
66,1.05
67,1.04
68,1
69,1.03
70,1.05
71,1.03
72,1.02
73,1
74,1
75,1.05
76,1.05
77,1.02
78,1.01
79,0.98
80,1.02
81,1.05
82,1.03
83,1
84,0.99
85,1.06
86,1.05
87,1.03
88,1.01
89,1.05
90,1.03
91,1.01
92,1.04
93,1
94,1.01
95,1.03
96,0.99
97,0.99
98,1
99,1.03
100,1.01
101,0.98
102,0.99
103,1.05
104,0.99
105,1.02
106,1.03
107,1
108,0.98
109,1.02
110,1.02
111,1.01
112,0.98
113,1.01
114,1.04
115,1.02
116,1
117,1.01
118,1.04
119,1.01
120,0.98
121,1.01
122,1.03
123,1.01
124,0.99
125,1.02
126,1.02
127,1.01
128,0.98
129,1.02
130,1.04
131,1.01
132,0.99
133,1
134,1.02
135,1.02
136,1
137,1.01
138,1.01
139,1.04
140,0.99
141,1
142,1
143,1.02
144,1.02
145,1
146,0.99
147,1.03
148,1.03
149,1.01
150,1.02
151,1.01
152,0.99
153,1.03
154,1.01
155,0.99
156,0.99
157,1.01
158,1.02
159,1
160,0.99
161,1
162,1
163,1.02
164,0.99
165,0.99
166,1.01
167,1.03
168,1.01
169,0.99
170,1.01
171,1
172,1.02
173,0.99
174,1
175,1.02
176,1.01
177,0.99
178,1
179,1.01
180,1.01
181,0.99
182,1
183,1.02
184,1.01
185,0.98
186,0.99
187,1.02
188,1.02
189,1
190,0.96
191,0.98
192,1
193,1.02
194,1
195,0.99
196,0.98
197,1.01
198,1.01
199,0.99
200,0.98
201,1.02
202,1
203,0.95
204,0.96
205,0.98
206,0.98
207,0.99
208,0.97
209,0.96
210,0.98
211,0.99
212,1
213,0.98
214,0.96
215,0.97
216,1
217,1.01
218,1.08
219,1
220,0.99
221,0.99
222,1.01
223,0.98
224,1.01
225,1.02
226,0.98
227,0.98
228,1
229,1.01
230,1.03
231,1
232,0.99
233,0.99
234,0.99
235,1.01
236,1.01
237,1
238,0.98
239,0.99
240,1.01
241,1.01
242,1
243,1.02
244,0.98
245,0.99
246,1.03
247,1.02
248,0.99
249,1
250,1
251,1.02
252,1.02
253,0.99
254,0.99
255,0.99
256,1.01
257,1.02
258,1.02
259,0.98
260,0.99
261,0.99
262,1
263,1.03
264,1.01
265,0.99
266,0.99
267,0.98
268,1.02
269,1.03
270,1
271,0.97
272,0.98
273,0.99
274,1.02
275,1.01
276,0.98
277,0.98
278,0.99
279,1.01
280,1.01
281,1.03
282,0.98
283,0.98
284,0.99
285,1.01
286,1.02
287,0.99
